GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Motif,no.motif,Iterate.new Fn() {...},0,6,0,0,0,2,0,2,0,2
Motif,no.motif,Strings.new FalseIfNullOrElse() {...},0,11,0,0,0,2,0,2,0,2
Motif,no.motif,Iterate.new Comparator() {...},0,17,0,0,0,2,0,2,0,2
Motif,no.motif,Ints,0,28,0,0,0,6,0,2,0,2
Motif,no.motif,Iterate.new Predicate() {...},0,7,0,0,0,2,0,2,0,2
Motif,no.motif,Iterate.new Predicate() {...},0,6,0,0,0,2,0,2,0,2
Motif,no.motif,Strings.new Fn() {...},0,27,0,4,0,3,0,4,0,2
Motif,no.motif,Chars.new FalseIfNullOrElse() {...},0,7,0,0,0,2,0,2,0,2
Motif,no.motif,Chars.new FalseIfNullOrElse() {...},0,7,0,0,0,2,0,2,0,2
Motif,no.motif,Chars.new FalseIfNullOrElse() {...},0,7,0,0,0,2,0,2,0,2
Motif,no.motif,Longs,0,27,0,0,0,6,0,2,0,2
Motif,no.motif,Chars.new FalseIfNullOrElse() {...},0,7,0,0,0,2,0,2,0,2
Motif,no.motif,Strings.new FalseIfNullOrElse() {...},0,11,0,0,0,2,0,2,0,2
Motif,no.motif,Strings.new FalseIfNullOrElse() {...},0,11,0,0,0,2,0,2,0,2
Motif,no.motif,Strings.new Fn() {...},0,16,0,0,0,1,0,2,0,2
Motif,no.motif,Strings.new Fn() {...},0,23,0,4,0,3,0,4,0,2
Motif,no.motif,Iterate,0,86,0,10,0,14,0,14,0,9
Motif,no.motif,NOP.new Fn() {...},0,5,0,0,0,1,0,2,0,2
Motif,no.motif,NOP.new Runnable() {...},0,4,0,0,0,1,0,2,0,2
Motif,no.motif,Decimals,0,8,0,0,0,2,0,2,0,2
Motif,no.motif,Longs.new Fn() {...},0,11,0,2,0,2,0,3,0,2
Motif,no.motif,NOP,0,14,0,0,0,4,0,3,0,3
Motif,no.motif,Longs.new Fn2() {...},0,10,0,0,0,2,0,2,0,2
Motif,no.motif,Base.new Fn() {...},0,13,0,0,0,1,0,2,0,2
Motif,no.motif,Longs.new Fn2() {...},0,10,0,0,0,2,0,2,0,2
Motif,no.motif,Base.new Predicate() {...},0,14,0,0,0,2,0,2,0,2
Motif,no.motif,Longs.new Fn() {...},0,8,0,0,0,2,0,2,0,2
Motif,no.motif,Base.new Predicate() {...},0,15,0,2,0,1,0,3,0,2
Motif,no.motif,Base.new Predicate() {...},0,11,0,0,0,1,0,2,0,2
Motif,no.motif,Base.new Predicate() {...},0,12,0,0,0,2,0,2,0,2
Motif,no.motif,Base.new Predicate() {...},0,15,0,2,0,1,0,3,0,2
Motif,no.motif,Base.new Predicate() {...},0,15,0,2,0,1,0,3,0,2
Motif,no.motif,Strings.new FalseIfNullOrElse() {...},0,11,0,0,0,2,0,2,0,2
